WP_011649834.1	SMc02793
WP_011649835.1	SMc02792
WP_011649836.1	SMc02791
WP_011649837.1	SMc02790
WP_011649838.1	SMc02789
WP_003544086.1	SMc02788
WP_011649839.1	SMc02787
WP_003544090.1	SMc02786
WP_011649840.1	SMc02785
WP_011649841.1	SMc02784
WP_003544097.1	SMc02783
WP_011649842.1	SMc02782
WP_011649843.1	SMc02781
WP_011654285.1	SMc02780
WP_011655168.1	SMc02778
WP_011650311.1	SMc02777
WP_011650310.1	SMc02776
WP_011650309.1	SMc02775
WP_011650307.1	SMc02774
WP_011650306.1	SMc02773
WP_003545129.1	SMc02772
WP_011650305.1	SMc02771
WP_011649847.1	SMc02770
WP_011649848.1	SMc02769
WP_011649849.1	SMc02768
WP_011649850.1	SMc02767
WP_011649851.1	SMc02766
WP_011649852.1	SMc02765
WP_003544116.1	SMc02764
WP_011649853.1	SMc02763
WP_003544118.1	SMc02761
WP_011649854.1	SMc02760
WP_011649855.1	SMc02759
WP_011649856.1	SMc02758
WP_011649857.1	SMc02757
WP_011649858.1	SMc02756
WP_011649859.1	SMc02755
WP_003544133.1	SMc02754
WP_003544139.1	SMc02753
WP_011649860.1	SMc02752
WP_011649861.1	SMc04446
WP_011649862.1	SMc02560
WP_011649863.1	SMc02562
WP_011649864.1	SMc02563
WP_011649865.1	SMc02566
WP_003544165.1	SMc02567
WP_011649866.1	SMc02568
WP_011649867.1	SMc02569
WP_011649868.1	SMc02570
WP_011649871.1	SMc02572
WP_011649872.1	SMc02573
WP_003544176.1	SMc02574
WP_011649873.1	SMc02575
WP_011649874.1	SMc02576
WP_011649875.1	SMc02577
WP_011649876.1	SMc02578
WP_011649877.1	SMc02579
WP_011649878.1	SMc02581
WP_011649879.1	SMc02582
WP_011649880.1	SMc02583
WP_011649881.1	SMc02584
WP_041936525.1	SMc02585
WP_011649883.1	SMc02586
WP_011649732.1	SMc02589
WP_011650376.1	SMc04463
WP_011649396.1	SMc02600
WP_011655289.1	SMc02605
WP_011655288.1	SMc02606
WP_011655287.1	SMc02607
WP_011655286.1	SMc02608
WP_011655285.1	SMc02609
WP_011655283.1	SMc02610
WP_003548139.1	SMc02611
WP_003548137.1	SMc02612
WP_011655281.1	SMc02613
WP_011653749.1	SMc02616
WP_028741877.1	SMc02620
WP_011650041.1	SMc04154
WP_011655280.1	SMc04153
WP_011655279.1	SMc04152
